City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san patricio,28.017,-97.5169,32.97,48,21,6.15,US,1726775230
1,mossel bay,-34.1831,22.146,10.96,72,100,7.64,ZA,1726775231
2,port mathurin,-19.6833,63.4167,21.96,84,12,7.11,MU,1726775232
3,olonkinbyen,70.9221,-8.7187,1.39,74,100,10.69,SJ,1726775233
4,chongwe,-15.3292,28.682,24.32,22,0,1.43,ZM,1726775234
5,ujae,8.9322,165.7642,28.61,72,87,2.31,MH,1726775235
6,atbasar,51.8,68.3333,9.58,69,100,3.77,KZ,1726775236
7,ketchikan,55.3422,-131.6461,11.99,73,43,1.76,US,1726775237
8,grytviken,-54.2811,-36.5092,-0.42,67,80,5.86,GS,1726775238
9,aasiaat,68.7098,-52.8699,0.23,72,100,4.32,GL,1726775239
10,waitangi,-43.9535,-176.5597,12.12,96,69,2.24,NZ,1726775295
11,floro,61.5996,5.0328,13.98,94,3,3.09,NO,1726775296
12,waingapu,-9.6567,120.2641,25.03,83,67,1.49,ID,1726775297
13,mantenopolis,-18.8625,-41.1228,23.83,61,97,4.75,BR,1726775298
14,port-vila,-17.7338,168.3219,17.78,100,40,0.51,VU,1726775299
15,arteche,12.2645,125.4048,24.88,94,100,4.24,PH,1726775300
16,makinsk,52.6292,70.4169,7.82,75,20,3.11,KZ,1726775301
17,khandyga,62.6667,135.6,-3.07,95,54,1.54,RU,1726775302
18,cabo san lucas,22.8909,-109.9124,28.75,50,0,6.71,MX,1726775303
19,albany,42.6001,-73.9662,29.21,51,74,0.89,US,1726775247
20,namie,37.4833,141.0,24.99,86,91,2.54,JP,1726775306
21,lihue,21.9789,-159.3672,27.77,71,40,7.72,US,1726775307
22,bethel,41.3712,-73.414,28.7,54,75,1.79,US,1726775308
23,bambari,5.768,20.6757,22.43,96,100,1.49,CF,1726775309
24,tamanrasset,22.785,5.5228,28.95,28,40,2.06,DZ,1726775310
25,isafjordur,66.0755,-23.124,5.82,79,79,3.98,IS,1726775312
26,margaret river,-33.95,115.0667,11.48,69,89,3.98,AU,1726775313
27,naliya,23.2667,68.8333,26.38,81,0,6.06,IN,1726775314
28,port-aux-francais,-49.35,70.2167,3.49,78,81,11.69,TF,1726775315
29,minas de matahambre,22.5887,-83.9447,30.22,70,25,2.98,CU,1726775316
30,atafu village,-8.5421,-172.5159,27.62,73,6,2.54,TK,1726775317
31,adamstown,-25.066,-130.1015,20.92,76,81,2.82,PN,1726775318
32,papatowai,-46.5619,169.4708,5.24,68,10,3.41,NZ,1726775319
33,ribeira grande,38.5167,-28.7,23.22,53,20,4.63,PT,1726775320
34,west island,-12.1568,96.8225,24.99,78,100,5.14,CC,1726775321
35,hamilton,39.1834,-84.5333,34.24,38,40,3.6,US,1726775322
36,faya-largeau,17.9257,19.1043,37.66,17,3,3.92,TD,1726775323
37,wailua homesteads,22.0669,-159.378,27.44,73,40,7.72,US,1726775324
38,hermanus,-34.4187,19.2345,8.78,79,2,5.98,ZA,1726775325
39,puerto natales,-51.7236,-72.4875,8.25,49,75,6.17,CL,1726775162
40,port alfred,-33.5906,26.891,14.54,60,90,6.34,ZA,1726775327
41,invercargill,-46.4,168.35,6.12,72,32,2.24,NZ,1726775328
42,talnakh,69.4865,88.3972,1.83,99,100,2.82,RU,1726775329
43,chonchi,-42.6128,-73.8092,7.5,92,95,3.6,CL,1726775330
44,stanley,54.868,-1.6985,11.82,92,75,1.54,GB,1726775331
45,dryden,49.7833,-92.7503,21.16,88,100,3.09,CA,1726775334
46,hithadhoo,-0.6,73.0833,28.0,75,84,4.42,MV,1726775335
47,iqaluit,63.7506,-68.5145,2.85,81,100,4.63,CA,1726775337
48,selfoss,63.9331,-20.9971,5.58,76,100,1.35,IS,1726775338
49,edinburgh of the seven seas,-37.0676,-12.3116,14.57,84,89,13.32,SH,1726775339
50,oued el abtal,35.456,0.6878,20.57,66,0,0.52,DZ,1726775340
51,afaahiti,-17.75,-149.2833,24.45,83,39,5.56,PF,1726775317
52,yellowknife,62.456,-114.3525,15.23,67,20,3.09,CA,1726775342
53,coquimbo,-29.9533,-71.3436,18.85,64,0,6.69,CL,1726775343
54,nacala,-14.5428,40.6728,23.51,79,0,3.86,MZ,1726775344
55,bozoum,6.3193,16.3799,20.36,94,100,1.24,CF,1726775345
56,haiku-pauwela,20.9219,-156.3051,27.36,73,20,12.52,US,1726775346
57,alice springs,-23.7,133.8833,8.75,40,5,2.57,AU,1726775347
58,port elizabeth,-33.918,25.5701,12.4,81,20,1.79,ZA,1726775348
59,qaqortoq,60.7167,-46.0333,5.21,84,98,1.33,GL,1726775349
60,carnarvon,-24.8667,113.6333,19.59,79,1,10.13,AU,1726775350
61,yuzhno-kurilsk,44.0306,145.8556,14.41,74,100,6.53,RU,1726775351
62,nuuk,64.1835,-51.7216,6.34,81,100,2.57,GL,1726775352
63,tiksi,71.6872,128.8694,0.28,95,100,6.57,RU,1726775353
64,kodiak,57.79,-152.4072,12.73,54,0,0.33,US,1726775354
65,bonthe,7.5264,-12.505,25.5,88,100,3.45,SL,1726775130
66,zeya,53.75,127.2667,0.97,81,7,2.41,RU,1726775356
67,pandan,14.0453,124.1694,25.97,88,100,4.55,PH,1726775357
68,blackmans bay,-43.0167,147.3167,5.29,82,100,5.39,AU,1726775358
69,kendari,-3.945,122.4989,24.2,94,100,0.77,ID,1726775359
70,georgetown,5.4112,100.3354,26.96,88,20,1.54,MY,1726775360
71,vyshniy volochek,57.5913,34.5645,11.8,82,9,1.92,RU,1726775362
72,tokoroa,-38.2333,175.8667,9.79,97,100,2.05,NZ,1726775364
73,ilulissat,69.2167,-51.1,5.01,48,40,5.66,GL,1726775365
74,buka,40.8108,69.1986,17.15,39,72,1.98,UZ,1726775366
75,luderitz,-26.6481,15.1594,13.27,70,0,14.46,NA,1726775367
76,new norfolk,-42.7826,147.0587,5.95,84,100,3.74,AU,1726775368
